index,id,datetime,text,user_name,sentiment,rwt_retweet_count,markersize_1,markersize_2,markersize_3,markersize_4,single_tweet_history_flag,color_1,color_2,color_3,color_4,keyword_tweet_idx,callout_1_flag,callout_1_text,callout_2_flag,callout_2_text,callout_3_flag,callout_3_text,callout_4_flag,callout_4_text
2800,788117168223358978,2016-10-17 20:39:10,"RT @DavidJo52951945: The UK has a muslim abuse gang problem with muslims constantly targeting underage girls,Rotherham tip of the iceberg h…",David P,-0.80425,101.0,3.0,2.0,5.02935719089,5.02935719089,False,0,0,0,3,True,0,,0,,0,,0,
2801,788117312020836352,2016-10-17 20:39:44,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Je Suis Charlie,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2802,788117376193687552,2016-10-17 20:39:59,"Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https://t.co/n6sCNYfFp0",V Hale (`･⊝･´),-0.455276,50.0,3.0,2.0,8.59871396381,8.59871396381,False,0,0,2,2,False,0,,0,,0,,0,
2803,788117428374949888,2016-10-17 20:40:12,RT @BBCBreaking: Eight men guilty of 16 charges over sexual exploitation of three girls in Rotherham between 1999 and 2003 https://t.co/xRK…,Muhammad4Trump,-0.44902,483.0,3.0,8.69724082475,8.69724082475,8.69724082475,True,0,1,0,0,False,0,,0,,0,,0,
2804,788117438743384065,2016-10-17 20:40:14,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Margaret,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2805,788117488995360768,2016-10-17 20:40:26,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",oppenheimersghost,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2806,788117509442506752,2016-10-17 20:40:31,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Penny Rimmington,-0.847936,291.0,3.0,2.0,7.28387603935,7.28387603935,False,0,0,0,3,True,0,,0,,0,,0,
2807,788117583887204354,2016-10-17 20:40:49,RT @BBCBreaking: Eight men guilty of 16 charges over sexual exploitation of three girls in Rotherham between 1999 and 2003 https://t.co/xRK…,swaddlethatbaby,-0.44902,483.0,3.0,8.69724082475,8.69724082475,8.69724082475,True,0,1,0,0,False,0,,0,,0,,0,
2808,788117687134281730,2016-10-17 20:41:13,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,L. B.,-0.847936,291.0,3.0,2.0,7.28387603935,7.28387603935,False,0,0,0,3,True,0,,0,,0,,0,
2809,788117702892216321,2016-10-17 20:41:17,RT @BBCBreaking: Eight men guilty of 16 charges over sexual exploitation of three girls in Rotherham between 1999 and 2003 https://t.co/xRK…,Non HumanGMO,-0.44902,483.0,3.0,8.69724082475,8.69724082475,8.69724082475,True,0,1,0,0,False,0,,0,,0,,0,
2810,788117819527487488,2016-10-17 20:41:45,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",Rigged System Wally,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
